vidid, AestheticScore
OfRGKINRHs4, 5.385863371193409
JbFCpobWp1I, 5.118351618759334
ZIJ5uf_NqOo, 4.637031071819365
zuJXB0kQvAY, 5.399721825146116
2NLVRiomU84, 4.858626273693517
pcl5xV0IoLc, 4.705000833841041
7tYJ2adafKc, 5.0707652838900685
uasF6Wqm0pM, 5.18512132903561
eJS7BJhiyuo, 4.9788464698940516
z6gxgemisXI, 5.330370090669021
8kVOsUB2vzQ, 4.3893949773628265
cigMkmsNAo8, 5.423650951357558
mF4ICRlfcjk, 4.884167335927486
5OXeGPdem7o, 5.012638978660107
hSc13bDjpKE, 4.835390537467902
oolZNpYIQLg, 4.849216803908348
S7yZkHz4KLw, 5.05176722840406
LYnEk5wBjww, 4.786941953469068
pSeEUdvWYxY, 5.00651438254863
untdSfmhiWo, 4.781648684293032
u1B776VoM1w, 5.202332660323009
Yryi1bbmUjU, 4.946204673498869
Nr5xb-QCBGA, 5.194682486820966
UNsn7dt8QOM, 4.588016372639686
hWzKGmnoYSY, 4.888724606251344
LJV6zT21Fos, 4.2432671925053
8VXp2sITGhQ, 4.475815005134791
ZS63m8ZG2bg, 4.597839951980859
PaE-8rqTIMY, 4.908421108499169
MLt-IIITx2Q, 4.699140892364085
GF-IEzwcH-8, 4.8717279941774905
rMAeHoHAhp8, 5.14085617987439
biiwfJHZv98, 5.085304856300354
0wY4vctIzC8, 5.13561188429594
nrTsvn9usVQ, 4.94844019273296
l8G7wW-npK8, 5.360365383094177
FYOYB4XMZMg, 4.392844959162176
Z7bwPLxo6u8, 4.391468677320518
9e9D7ABgHpU, 5.050856792950071
LASTN9MbOno, 5.2973018360789865
_X5v9AgLVIQ, 4.568018509307876
bXCeFPNWjsM, 5.3164154826663435
-X99tnhAnYU, 5.1690949643962085
FNNvmvwl_z0, 4.676458342000842
s1cvYaI27VU, 5.075927826575935
WwD0b0TmXag, 4.694599739741534
XEvvkHdPVeo, 5.181325381621718
tJVXl1at4i8, 4.95350502897054
DtWCMx0JTvs, 5.003563297825167
zz5lGkDdk78, 4.997152180876583
T8THZjMcteM, 4.899098422378302
Uz8W3jsuNlI, 4.759084425866604
B5PgvzUEe1o, 5.384253425523639
qRUB48ZdcWQ, 5.403733246668708
_sdDoIBCkY8, 5.353797154966742
hCNelVA6OIw, 5.046339192660525
Sp4RS30EHX4, 4.9760766085237265
P5tStUhvyrE, 4.531667101662606
3wKNAPJ-0ug, 4.8347206057514995
FeM4flC2N4A, 4.846245693508536
Q4TAfmcQDtA, 4.883787801489234
VbVRmz-wlUI, 5.047064900398254
_UhrSY-tnQ0, 4.990057361777872
W2tTsjkX76o, 4.975242402986623
a_svO_tMbwk, 5.0910165421664715
qlqcKBy19uM, 4.427686920156702
HaucvIBQaHk, 5.282796535873786
34tiUZ0AjTI, 5.297906409250572
nG7EYifJGCU, 4.503378838766366
PKidPoT1hUE, 4.926152327097952
wMIBZKGkPJ8, 5.05046864785254
AWLUEKuGLKU, 5.27047897974262
TjqQFOY2RzA, 5.465210081078112
g-y1xNT4Ukc, 4.510911256074905
ahIicKEePus, 4.984556768089533
0FkgwoyWXx8, 5.1725419665453956
6kD1awU2aQ0, 5.2123417153488845
WEDPvVaHFY8, 4.872953062877059
A9Hz2HRPQ6g, 4.751300565432757
