,0
975,43509
976,6938
977,28767
978,7408
979,24532
980,19507
981,33360
982,7567
983,23978
984,8817
985,28324
986,34805
987,42342
988,31305
989,31005
990,33089
991,43381
992,35913
993,30834
994,31532
995,6210
996,8238
997,10658
998,7067
999,9794
1000,20144
1001,10031
1002,10710
1003,11132
1004,12772
1005,10020
1006,29773
1007,6624
1008,11144
1009,15711
1010,8366
1011,10304
1012,11845
1013,14715
1014,11048
1015,8853
1016,4427
1017,2695
1018,12960
1019,5800
1020,31064
1021,22657
1022,26034
1023,28912
1024,9497
1025,31184
1026,27971
1027,9189
1028,19330
1029,15488
1030,11647
1031,34349
1032,11173
1033,7619
1034,10979
1035,24938
1036,43353
1037,9669
1038,10410
1039,14162
1040,32863
1041,23322
1042,30505
1043,22249
1044,14479
1045,23581
1046,35833
1047,21247
1048,24173
1049,34248
1050,20769
1051,21480
1052,22945
1053,51656
1054,24681
1055,21225
1056,42335
1057,42213
1058,23454
1059,33061
1060,9284
1061,13031
1062,17658
1063,14877
1064,36330
1065,10730
1066,7755
1067,6741
1068,11734
1069,12773
1070,32329
1071,9253
1072,14503
1073,9430
1074,15308
1075,13943
1076,10072
1077,6887
1078,13378
1079,13618
1080,12579
1081,14660
1082,17713
1083,21529
1084,40547
1085,16594
1086,9978
1087,17090
1088,41335
1089,20572
1090,10874
1091,40525
1092,33950
1093,15314
1094,20312
1095,19441
1096,16173
1097,16201
1098,7882
1099,20346
1100,21152
1101,10931
1102,16684
1103,14926
1104,17377
1105,8915
1106,13374
1107,18323
1108,7703
1109,10116
1110,15474
1111,7044
1112,11567
1113,14938
1114,15201
1115,22476
1116,14284
1117,27288
1118,25248
1119,16822
1120,21853
1121,28816
1122,22616
1123,23376
1124,16935
1125,28840
1126,24551
1127,18519
1128,24213
1129,11511
1130,30488
1131,22889
1132,29570
1133,21866
1134,20099
1135,7889
1136,11324
1137,23432
1138,14347
1139,11392
1140,16855
1141,11796
1142,20710
1143,15807
1144,24343
1145,10124
1146,15668
1147,10146
1148,19408
1149,14823
1150,8650
1151,19978
1152,10992
1153,10440
1154,46870
1155,12913
1156,11176
1157,14839
1158,12694
1159,19046
1160,9069
1161,11885
1162,38517
1163,12948
1164,31976
1165,7674
1166,30557
1167,8619
1168,9520
1169,11045
1170,10484
1171,10145
1172,7667
1173,9147
1174,8309
1175,8284
1176,9109
1177,12851
1178,7974
1179,7915
1180,32503
1181,26728
1182,34903
1183,11330
1184,10842
1185,10083
1186,11986
1187,14689
1188,15030
