,length,negative,neutral,positive
528,41,0.0,1.0,0.0
529,100,0.0,1.0,0.0
530,28,0.0,1.0,0.0
531,66,0.332,0.562,0.107
532,24,0.0,1.0,0.0
533,26,0.286,0.238,0.476
534,10,0.0,1.0,0.0
535,52,0.0,1.0,0.0
536,77,0.0,1.0,0.0
537,53,0.0,1.0,0.0
538,42,0.0,1.0,0.0
539,37,0.332,0.668,0.0
540,76,0.0,0.596,0.404
541,98,0.0,0.848,0.152
542,64,0.0,1.0,0.0
543,62,0.0,1.0,0.0
544,69,0.0,0.75,0.25
545,45,0.418,0.582,0.0
546,59,0.0,1.0,0.0
547,51,0.0,0.652,0.348
548,57,0.0,0.745,0.255
549,56,0.0,0.769,0.231
550,72,0.0,0.693,0.307
551,53,0.0,0.467,0.533
552,70,0.0,1.0,0.0
553,70,0.0,1.0,0.0
554,70,0.0,1.0,0.0
555,70,0.0,1.0,0.0
556,70,0.0,1.0,0.0
557,70,0.0,1.0,0.0
558,70,0.0,1.0,0.0
559,70,0.0,1.0,0.0
560,42,0.0,1.0,0.0
561,53,0.0,1.0,0.0
562,62,0.0,0.612,0.388
563,33,0.0,1.0,0.0
564,69,0.288,0.712,0.0
565,30,0.595,0.405,0.0
566,71,0.0,1.0,0.0
567,64,0.0,0.515,0.485
568,65,0.342,0.658,0.0
569,33,0.0,0.58,0.42
570,36,0.0,0.633,0.367
571,29,0.0,1.0,0.0
572,33,0.545,0.455,0.0
573,36,0.0,1.0,0.0
574,77,0.252,0.748,0.0
575,54,0.0,1.0,0.0
576,86,0.22,0.78,0.0
577,38,0.0,1.0,0.0
578,46,0.0,1.0,0.0
579,89,0.276,0.53,0.194
580,40,0.0,1.0,0.0
581,33,0.0,0.69,0.31
582,44,0.0,1.0,0.0
583,40,0.0,1.0,0.0
584,33,0.0,1.0,0.0
585,36,0.0,1.0,0.0
586,35,0.0,1.0,0.0
587,40,0.0,1.0,0.0
588,72,0.0,1.0,0.0
589,41,0.0,1.0,0.0
590,32,0.0,1.0,0.0
591,37,0.0,1.0,0.0
592,59,0.0,0.59,0.41
593,58,0.0,0.748,0.252
594,39,0.0,1.0,0.0
595,41,0.32,0.68,0.0
596,21,0.0,0.625,0.375
597,35,0.0,0.589,0.411
598,74,0.0,1.0,0.0
599,20,0.0,1.0,0.0
600,46,0.0,1.0,0.0
601,44,0.0,1.0,0.0
602,50,0.348,0.652,0.0
603,61,0.0,0.758,0.242
604,46,0.0,1.0,0.0
605,42,0.0,0.625,0.375
606,53,0.0,0.656,0.344
607,56,0.0,1.0,0.0
608,47,0.0,0.589,0.411
609,50,0.0,1.0,0.0
610,37,0.0,1.0,0.0
611,39,0.563,0.437,0.0
612,45,0.275,0.725,0.0
613,36,0.0,1.0,0.0
614,50,0.0,1.0,0.0
615,43,0.0,1.0,0.0
616,59,0.0,1.0,0.0
617,57,0.0,1.0,0.0
618,38,0.0,1.0,0.0
619,38,0.398,0.602,0.0
620,82,0.0,0.876,0.124
621,79,0.264,0.736,0.0
622,79,0.0,1.0,0.0
623,94,0.0,1.0,0.0
624,95,0.0,0.794,0.206
625,96,0.2,0.8,0.0
626,63,0.0,0.586,0.414
627,85,0.0,0.757,0.243
628,70,0.0,1.0,0.0
629,100,0.0,0.881,0.119
630,58,0.0,1.0,0.0
631,60,0.326,0.489,0.185
632,64,0.266,0.734,0.0
633,92,0.0,1.0,0.0
634,62,0.0,0.49,0.51
635,96,0.0,1.0,0.0
636,39,0.0,1.0,0.0
637,93,0.0,0.814,0.186
638,47,0.0,0.648,0.352
639,83,0.0,0.817,0.183
640,78,0.0,1.0,0.0
641,51,0.0,0.588,0.412
642,44,0.0,0.674,0.326
643,65,0.0,1.0,0.0
644,34,0.0,1.0,0.0
645,71,0.0,0.786,0.214
646,40,0.0,1.0,0.0
647,58,0.256,0.526,0.218
648,42,0.0,1.0,0.0
649,49,0.0,1.0,0.0
650,62,0.0,1.0,0.0
651,44,0.0,1.0,0.0
652,55,0.0,1.0,0.0
653,33,0.576,0.424,0.0
654,65,0.0,1.0,0.0
655,29,0.0,1.0,0.0
656,97,0.0,0.844,0.156
657,32,0.0,1.0,0.0
658,53,0.0,1.0,0.0
659,72,0.0,1.0,0.0
660,58,0.0,1.0,0.0
661,28,0.0,1.0,0.0
662,78,0.0,1.0,0.0
663,63,0.0,1.0,0.0
664,69,0.0,1.0,0.0
665,87,0.0,1.0,0.0
666,99,0.169,0.615,0.215
667,87,0.0,0.797,0.203
668,68,0.0,1.0,0.0
669,97,0.0,1.0,0.0
670,75,0.0,1.0,0.0
671,31,0.0,1.0,0.0
672,68,0.0,0.789,0.211
673,49,0.0,1.0,0.0
674,98,0.0,0.878,0.122
675,72,0.0,1.0,0.0
676,93,0.174,0.632,0.195
677,95,0.0,1.0,0.0
678,61,0.0,1.0,0.0
679,78,0.0,0.667,0.333
680,91,0.143,0.68,0.177
681,69,0.0,1.0,0.0
682,69,0.0,0.827,0.173
683,67,0.174,0.826,0.0
684,52,0.241,0.759,0.0
685,42,0.0,1.0,0.0
686,83,0.0,1.0,0.0
687,79,0.0,0.825,0.175
688,71,0.0,1.0,0.0
689,36,0.0,1.0,0.0
690,35,0.0,1.0,0.0
691,13,0.0,1.0,0.0
692,75,0.443,0.405,0.152
693,74,0.0,1.0,0.0
694,84,0.0,1.0,0.0
695,58,0.0,0.465,0.535
696,54,0.0,1.0,0.0
697,41,0.0,1.0,0.0
698,25,0.0,1.0,0.0
699,23,0.0,0.431,0.569
700,88,0.0,0.84,0.16
701,49,0.0,1.0,0.0
702,62,0.0,1.0,0.0
703,65,0.0,1.0,0.0
704,76,0.0,0.811,0.189
705,42,0.0,1.0,0.0
706,40,0.0,1.0,0.0
707,59,0.0,1.0,0.0
708,49,0.0,0.698,0.302
709,37,0.0,1.0,0.0
710,31,0.0,1.0,0.0
711,56,0.208,0.495,0.297
712,59,0.0,1.0,0.0
713,50,0.0,0.617,0.383
714,75,0.0,1.0,0.0
715,84,0.0,1.0,0.0
716,68,0.0,0.811,0.189
717,44,0.0,0.685,0.315
718,49,0.0,1.0,0.0
719,36,0.0,1.0,0.0
720,51,0.314,0.686,0.0
721,56,0.0,0.8,0.2
722,62,0.0,1.0,0.0
723,65,0.223,0.661,0.116
724,44,0.0,1.0,0.0
725,72,0.0,1.0,0.0
726,59,0.0,0.86,0.14
727,52,0.0,0.824,0.176
728,51,0.0,0.769,0.231
729,74,0.0,1.0,0.0
730,56,0.0,1.0,0.0
731,40,0.0,1.0,0.0
732,52,0.0,1.0,0.0
733,51,0.222,0.778,0.0
734,40,0.0,1.0,0.0
735,63,0.256,0.744,0.0
736,52,0.0,1.0,0.0
737,61,0.0,0.682,0.318
738,55,0.0,1.0,0.0
739,44,0.0,1.0,0.0
740,44,0.0,1.0,0.0
741,42,0.0,1.0,0.0
742,58,0.206,0.794,0.0
743,85,0.0,1.0,0.0
744,36,0.0,1.0,0.0
745,69,0.0,0.672,0.328
746,62,0.335,0.665,0.0
747,42,0.0,1.0,0.0
748,34,0.355,0.645,0.0
749,69,0.0,0.857,0.143
750,41,0.0,1.0,0.0
751,43,0.0,1.0,0.0
752,63,0.0,1.0,0.0
753,68,0.252,0.748,0.0
754,42,0.0,1.0,0.0
755,45,0.0,1.0,0.0
756,46,0.0,0.643,0.357
757,91,0.0,1.0,0.0
758,67,0.0,1.0,0.0
759,48,0.0,1.0,0.0
760,51,0.0,1.0,0.0
761,53,0.0,1.0,0.0
762,45,0.0,0.559,0.441
763,33,0.0,1.0,0.0
764,51,0.0,1.0,0.0
765,55,0.0,1.0,0.0
766,41,0.0,1.0,0.0
767,16,0.0,1.0,0.0
768,24,0.0,1.0,0.0
769,16,0.0,1.0,0.0
770,25,0.0,1.0,0.0
771,43,0.0,1.0,0.0
772,35,0.0,1.0,0.0
773,52,0.0,0.737,0.263
774,63,0.0,1.0,0.0
775,89,0.0,0.839,0.161
776,36,0.0,1.0,0.0
777,100,0.121,0.717,0.162
778,79,0.0,1.0,0.0
779,48,0.0,1.0,0.0
780,30,0.0,1.0,0.0
781,27,0.0,0.471,0.529
782,30,0.0,0.578,0.422
783,52,0.0,0.516,0.484
784,54,0.0,0.575,0.425
785,37,0.0,0.695,0.305
786,42,0.0,0.646,0.354
787,44,0.0,0.609,0.391
788,53,0.0,1.0,0.0
789,59,0.0,1.0,0.0
790,56,0.0,1.0,0.0
791,63,0.0,0.842,0.158
792,69,0.0,0.834,0.166
793,29,0.0,0.705,0.295
794,36,0.0,1.0,0.0
795,42,0.0,0.646,0.354
796,32,0.0,1.0,0.0
797,59,0.0,0.801,0.199
798,29,0.0,1.0,0.0
799,33,0.0,0.715,0.285
800,50,0.362,0.638,0.0
801,60,0.237,0.763,0.0
802,35,0.0,1.0,0.0
803,89,0.0,1.0,0.0
804,46,0.0,1.0,0.0
805,48,0.0,1.0,0.0
806,27,0.0,1.0,0.0
807,82,0.0,1.0,0.0
808,44,0.0,1.0,0.0
809,38,0.307,0.693,0.0
810,31,0.0,1.0,0.0
811,72,0.323,0.677,0.0
812,48,0.0,1.0,0.0
813,56,0.0,1.0,0.0
814,75,0.0,1.0,0.0
815,77,0.0,0.75,0.25
816,55,0.0,0.667,0.333
817,43,0.0,0.524,0.476
818,69,0.0,1.0,0.0
819,55,0.0,0.703,0.297
820,64,0.0,0.787,0.213
821,59,0.0,1.0,0.0
822,44,0.0,0.588,0.412
823,38,0.0,1.0,0.0
824,83,0.0,1.0,0.0
825,55,0.279,0.721,0.0
826,54,0.0,0.674,0.326
827,88,0.0,0.786,0.214
828,45,0.0,1.0,0.0
829,77,0.0,0.704,0.296
830,65,0.254,0.746,0.0
831,80,0.0,1.0,0.0
832,86,0.0,0.748,0.252
833,33,0.0,1.0,0.0
834,83,0.0,0.815,0.185
835,65,0.0,0.863,0.137
836,64,0.0,1.0,0.0
837,76,0.0,0.863,0.137
838,52,0.241,0.759,0.0
839,72,0.0,0.752,0.248
840,99,0.139,0.694,0.168
841,37,0.0,1.0,0.0
842,100,0.0,1.0,0.0
843,38,0.0,1.0,0.0
844,27,0.0,1.0,0.0
845,99,0.0,1.0,0.0
846,9,0.0,1.0,0.0
847,21,0.0,1.0,0.0
848,24,0.0,1.0,0.0
849,72,0.0,1.0,0.0
850,40,0.0,1.0,0.0
851,60,0.0,0.625,0.375
852,33,0.194,0.806,0.0
853,100,0.0,1.0,0.0
854,91,0.0,1.0,0.0
855,45,0.0,1.0,0.0
856,50,0.0,1.0,0.0
857,80,0.0,1.0,0.0
858,61,0.0,1.0,0.0
859,28,0.0,1.0,0.0
860,54,0.0,1.0,0.0
861,49,0.0,1.0,0.0
862,43,0.0,0.625,0.375
863,70,0.0,0.704,0.296
864,56,0.0,0.708,0.292
865,58,0.0,0.676,0.324
866,73,0.155,0.845,0.0
867,97,0.0,1.0,0.0
868,74,0.0,1.0,0.0
869,54,0.0,0.656,0.344
870,92,0.136,0.864,0.0
871,61,0.0,0.609,0.391
