,vidid,title_text,title_length,tmb_text,tmb_length,composite_sentiment
81,B19nlhbA7-E,The Portal Paradox,18,The Portal Paradox a OR B.,26,-0.3355
82,1Hqm0dYKUx4,Why It's Impossible to Tune a Piano,35,2 027 2,7,0.0
83,lvTqbM5Dq4Q,How Quantum Computers Break Encryption | Shor's Algorithm Explained,67,Quantum Computers Destroy Internet Security,43,-0.0615
84,o_W280R_Jt8,TOP 10 REASONS Why We Know the Earth is Round,45,TOP 10 REASONS why know we ROUNL earth is the,45,0.22
85,kIq5CZlg8Rg,Adding Past Infinity (WARNING: Math Ahead),42,d 1-/1+2+9+X 2+1+8+ =2-2).(2+2+4+8+ d 2al t,43,0.0
86,4B_x1XjBhiI,Another Physics Misconception,29,Another Physics Misconception,29,0.0
87,nrTsvn9usVQ,What Is The Universe?,21,The r Universe,14,0.0
88,1rLWVZVWfdY,Why is Relativity Hard? | Special Relativity Chapter 1,54,Special Relativity Ch.1 E=mc2,29,0.30849999999999994
89,v9ML4GA47Rg,The Physics of Car Crashes,26,"PHYSICS,OF THE CRASHES CAR",26,0.0
90,KNwKPfOKipk,Parallel Universes: Many Worlds,31,no,2,0.0
91,_mZQ-5-KYHw,Picture of the Big Bang (a.k.a. Oldest Light in the Universe),61,nan,0,0.0
92,nZMMuv0Ltyo,Why December Has The Longest Days,33,nan,0,0.0
93,-NN_m2yKAAk,Length Contraction and Time Dilation | Special Relativity Ch. 5,63,Length Contraction & Dilation Time,34,0.139
94,VSrEIdhrXB4,How to Build a Teleporter with Aliens,37,nan,0,0.0
95,IZ_8b_Ydsv0,Why LESS Sensitive Tests Might Be Better,40,Oops. day 5 10 15,17,0.163
96,NSxa5cVT3Ok,"How Many Stars There Are in the Sky, explained in ten seconds",61,How many stars there the in sky are explained 9.9999 s seconds,62,0.0
97,6ERXfZTFbFQ,Is Anything on the Internet Real?,33,nan,0,0.0
98,plUboQZgkng,Footnote †: Unstable Equilibrium,32,nan,0,-0.2275
99,eCD6ahMihoc,(A book with the answer),24,WHALES HOW DID GET SO BIG?,26,0.0
100,gWAXOD29YDU,How This Device Safely Removes Blood Clots | Tech Insider,57,DEVICE REMOVES BLOOD CLOTS tech INSIDER,39,0.143
101,oPmZGBvJswg,Here's why we have that little groove below our nose,52,t WHY WE HAVE a GROOVE BELOW OUR NOSE,37,0.0
102,hCJ9sJHunVA,New Chinese Gladiator Robot To Challenge The US' 'Megabot',58,NEW CHINESE GLADIATOR ROBOT,27,0.07
103,w3s1awGu1-M,Watch Elon Musk Unveil The Tesla Model Y SUV,44,TECH. INSIDER,13,0.0
104,tXCxelNUexM,How To Use Bumble,17,HOW to USE BUMBLE MATCHED you ebumble ECH TECH INSIDER,54,0.111
105,z5iY_8JxLC4,How To Transfer Photos From iPhone To iPhone,44,TRANSFER PHOTOS EROM IPHONE to 20 TECH INSIDER,46,-0.09
106,T8THZjMcteM,What Is My Skype ID? (How To Find It),37,YOUR FIND Caok nside SKYPE ID share profile croone S skypc name drocbl cled zzabes d emal a.techinsidenBgmaiLcon Birthday blthday add TECH other INSIDER other find rans pcople can you,183,0.2135
107,nYbJTtq2N_Q,How To Download Shows And Movies On Netflix,43,DOWNLOAD SHOWS AND MOVIES on NETFLIX TECH INSIDER,49,0.1355
108,fKH8a9nChyU,NYC grid explained,18,EXPLAINED NYO GRID,18,-0.0835
109,6z8Jtl2Aqg0,This Google Maps setting can show you everywhere you've been,60,T GOOGLE TIMELINE,17,-0.1275
110,EwS3mSGTih8,How To Find Diamonds In Minecraft,33,FIND DIAMONDS in MINECRAFT TECH INSIDER,39,0.1125
111,Bv_S5upj5dk,Smart construction helmet,25,SMART CONSTRUCTION HELMET water,31,0.267
112,n6VSBtz1su4,6 Google products and services you never even knew existed,58,i Message Fvi w LLESSER-KNOWN GOOGLE PRODUCTS,45,0.0
113,BB2g_ioctUQ,I Used Lenovo’s Smart Display For One Week — And I Couldn’t Get Enough [Sponsor Content By Lenovo],98,12:03 85F TECL INSIDER,22,0.1
114,iW5WnpTlifc,Korean Billy Explains The Story Behind His Dialect Videos,57,KOREAN BILLY ON HIS VIRAL FAME TECH INSIDER,43,0.1465
115,P1Ks8Jk_awk,NASA's autonomous underwater drone,34,NASA'S AUTONOMOUS UNDERWATER DRONE,34,0.0
116,Zc6jpNNGyko,Could 100% recycled asphalt help NYC streets? #Recycling #Asphalt #Sustainability,81,nan,0,0.0
117,mwOX-EnOESI,The American Southeast is breaking off,38,AMERICAN THE SOUTHEAST IS BREAKING OFF,38,0.0
118,ULlRpIF5rTs,The American Southwest may be facing a megadrought,50,AMERICAN SOUTHWEST FACE MEGADROUGHI MAI,39,0.0
119,TL-i3r2PN4w,These water resistant speakers are so durable you can drive over them with your car,83,BUSINESS uk INSIDER DURABLE SPEAKERS,36,0.0
120,QmOF0crdyRU,"Controlling Your Dopamine For Motivation, Focus & Satisfaction | Huberman Lab Podcast #39",89,DOPAMINE MINDSET 8 DRIVE HUBERM lab,35,0.1855
121,Wcs2PFz5q6g,The Science of Making & Breaking Habits | Huberman Lab Podcast #53,66,BUILD STRONG HABITS HUBERMAR lab,32,0.251
122,gXvuJu1kt48,The Effects of Cannabis (Marijuana) on the Brain & Body | Huberman Lab Podcast #92,82,CANNABIS: HEALTH & HARMS HUBERMAT lab,37,-0.248
123,cS7cNaBrkxo,"Dr. Noam Sobel: How Smells Influence Our Hormones, Health & Behavior | Huberman Lab Podcast",91,SMELLS HOW IMPACT BIOLOGY OUR SOBEL DR. NOAM huberman lab,57,0.0
124,GVRDGQhoEYQ,Dr. Sara Gottfried: How to Optimize Female Hormone Health for Vitality & Longevity | Huberman Lab,97,FEMALE HORMONE SIMZAIO SARA GOTTFRIED DR huberman lab,53,0.157
125,31wjVhCcI5Y,Erasing Fears & Traumas Based on the Modern Neuroscience of Fear | Huberman Lab Podcast #49,91,ERASING FEAR & TRAUMA HUBERMAN lab,34,-0.584
126,-wIt_WsJGfw,"Dr. Sam Harris: Using Meditation to Focus, View Consciousness & Expand Your Mind | Huberman Lab 105",99,MEDIIATION THE MIND FREE will 8x SAM HARRIS DR. huberman lab,60,0.21399999999999997
127,uXs-zPc63kM,Nicotine’s Effects on the Brain & Body & How to Quit Smoking or Vaping | Huberman Lab Podcast #90,97,NICOTINE: USES & QUITTING HUBERMAI lab,38,-0.0805
128,FFwA0QFmpQ4,Understanding and Using Dreams to Learn and to Forget | Huberman Lab Podcast #5,79,WHY WE DREAM HUBERMAN lab,25,0.22849999999999998
129,GLgKkG44MGo,Dr. Jack Feldman: Breathing for Mental & Physical Health & Performance | Huberman Lab Podcast #54,97,MASTER YOUR BREATHING with JACK FELDMAN DR HIRERMAI lab,55,0.0
130,aXvDEmo6uS4,"Maximizing Productivity, Physical & Mental Health with Daily Tools | Huberman Lab Podcast #28",93,OPTIMIZE WORK & HEALTH HUBERMAN LAB,35,0.222
131,ncSoor2Iw8k,Dr. Kyle Gillett: How to Optimize Your Hormones for Health & Vitality | Huberman Lab Podcast #67,96,OPTIMIZE YOUR HORMONES GILLET DR. KYLE HUBERMAN LAR,51,0.268
132,RgAcOqVRfYA,"Science of Social Bonding in Family, Friendship & Romantic Love | Huberman Lab Podcast #51",90,SOCIAL CONNECTING & BONDING HUBERMAN lab,40,0.128
133,7YGZZcXqKxE,Dr. Emily Balcetis: Tools for Setting & Achieving Goals | Huberman Lab Podcast #83,82,/ISUATLTZE &ACHIEVE GOALS EMIL BALCETIS DR. huberman lab,56,0.0
